Date,Location/City,Latitude,Longitude,Temp_Max,Temp_Min,Temp_Mean,Precipitation,Humidity,Wind_speed,Pressure,Weather_Condition,Cloud_Cover,UV_Index_Proxy
2023-03-02,Ho Chi Minh City,10.76,106.66,34.3,23.7,28.5,0.0,61.29,15.5,1012.14,Overcast,68.96,23.09
2023-03-03,Ho Chi Minh City,10.76,106.66,34.2,22.5,27.7,0.0,58.71,16.6,1013.28,Overcast,71.38,23.73
2023-03-04,Ho Chi Minh City,10.76,106.66,33.2,22.2,27.3,0.0,56.38,17.3,1014.29,Overcast,87.46,23.58
2023-03-05,Ho Chi Minh City,10.76,106.66,32.2,21.5,26.7,0.0,57.25,13.2,1013.62,Overcast,59.67,24.81
2023-03-06,Ho Chi Minh City,10.76,106.66,33.0,21.1,26.6,0.0,57.92,23.3,1012.65,Overcast,65.96,24.29
2023-03-07,Ho Chi Minh City,10.76,106.66,33.7,21.6,26.8,0.0,60.75,18.9,1012.41,Partly cloudy,14.0,24.98
2023-03-08,Ho Chi Minh City,10.76,106.66,34.2,22.1,27.1,0.0,60.0,20.7,1012.16,Overcast,29.96,25.12
2023-03-09,Ho Chi Minh City,10.76,106.66,34.2,21.5,26.8,0.0,60.38,23.6,1011.27,Clear sky,0.0,25.6
2023-03-10,Ho Chi Minh City,10.76,106.66,34.0,21.4,26.5,0.0,65.58,21.2,1010.62,Clear sky,0.88,25.11
2023-03-11,Ho Chi Minh City,10.76,106.66,34.7,22.2,27.0,0.0,66.04,21.8,1010.9,Overcast,13.79,23.83
2023-03-12,Ho Chi Minh City,10.76,106.66,33.2,22.3,26.8,0.1,64.75,19.9,1011.03,Light drizzle,40.92,21.42
2023-03-13,Ho Chi Minh City,10.76,106.66,34.2,22.5,27.5,0.0,58.79,22.5,1010.57,Overcast,39.88,23.88
2023-03-14,Ho Chi Minh City,10.76,106.66,34.2,22.3,27.3,0.0,58.79,24.0,1009.31,Overcast,26.12,25.64
2023-03-15,Ho Chi Minh City,10.76,106.66,35.7,22.4,27.6,0.0,61.08,27.2,1009.82,Overcast,47.83,24.49
2023-03-16,Ho Chi Minh City,10.76,106.66,35.5,23.4,28.3,0.0,59.12,20.8,1010.83,Overcast,73.62,24.11
2023-03-17,Ho Chi Minh City,10.76,106.66,35.6,23.2,28.3,0.2,62.83,20.8,1010.24,Light drizzle,63.38,23.42
2023-03-18,Ho Chi Minh City,10.76,106.66,35.2,24.0,28.3,0.0,63.04,23.9,1009.44,Overcast,53.25,21.05
2023-03-19,Ho Chi Minh City,10.76,106.66,37.0,24.0,28.9,0.0,62.17,28.3,1008.36,Overcast,11.17,24.51
2023-03-20,Ho Chi Minh City,10.76,106.66,34.8,24.4,28.5,0.5,68.12,19.2,1008.31,Moderate drizzle,45.92,21.13
2023-03-21,Ho Chi Minh City,10.76,106.66,35.4,24.5,28.7,0.0,70.33,17.7,1008.27,Overcast,49.92,22.58
2023-03-22,Ho Chi Minh City,10.76,106.66,35.7,24.7,28.8,0.0,70.21,19.8,1006.97,Overcast,70.5,23.94
2023-03-23,Ho Chi Minh City,10.76,106.66,35.0,25.0,28.9,0.3,70.21,16.8,1007.31,Light drizzle,64.46,21.17
2023-03-24,Ho Chi Minh City,10.76,106.66,36.4,24.0,29.0,0.0,70.38,20.7,1007.78,Overcast,78.62,24.23
2023-03-25,Ho Chi Minh City,10.76,106.66,34.1,25.3,28.5,0.1,70.04,20.0,1008.68,Light drizzle,58.33,18.21
2023-03-26,Ho Chi Minh City,10.76,106.66,35.8,23.2,28.6,0.0,71.83,18.8,1007.82,Overcast,62.08,24.35
2023-03-27,Ho Chi Minh City,10.76,106.66,35.8,25.0,29.4,0.0,69.12,22.4,1008.25,Overcast,73.62,23.85
2023-03-28,Ho Chi Minh City,10.76,106.66,35.8,25.8,29.5,2.1,69.71,21.7,1009.09,Slight rain,64.75,22.57
2023-03-29,Ho Chi Minh City,10.76,106.66,35.2,24.9,29.3,0.0,64.88,18.5,1009.26,Overcast,62.17,24.82
2023-03-30,Ho Chi Minh City,10.76,106.66,34.8,25.0,29.0,0.5,68.5,19.7,1008.21,Light drizzle,63.29,23.46
